item_vnum,item_name,item_count,item_plus,level_cap,rate_profile,rate_profile_id,a_zone0,a_zone1,a_zone2,a_zone3,a_zone4,a_zone5,a_zone6,a_zone7,a_zone8,a_zone9,a_zone10,a_zone11,a_zone12,a_zone13,a_zone14,a_zone15,a_zone16,a_zone17,a_zone18,a_zone19,a_zone20,a_zone21,a_zone22,a_zone23,a_zone24,a_zone25
848,Cell Capsule,1,0,999,8,8,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,Antibiotic Capsule,1,0,999,8,8,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,Genetic Capsule,1,0,999,8,8,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,Harpoon Capsule,1,0,999,8,8,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,Khan Capsule,1,0,999,8,8,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,Magic Platinum,1,0,999,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,200000,200000
1075,Dragon Capsule,1,0,999,8,8,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,Spirit Capsule,1,0,999,8,8,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2375,Gold box,1,0,999,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,200000,200000
2376,Platinum box,1,0,999,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,200000,200000
3239,Unstable Dragon Demolition Recipe,1,0,999,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,200000,200000
3730,Snowman,1,0,999,6,6,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
3732,Yut,1,0,999,9,9,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000
3756,Worms,1,0,999,9,9,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000
3757,Lug,1,0,999,9,9,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000
3794,Lotto Ticket,1,0,999,9,9,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000
3801,Bingo ticket,1,0,999,9,9,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000
3823,Baseball,1,0,999,3,3,25000,25000,25000,50000,50000,50000,50000,750000,750000,750000,750000,750000,750000,1000000,1000000,1000000,1000000,1000000,750000,750000,1000000,750000,1000000,1000000,1000000,1000000
3824,Golden Baseball,1,0,999,7,7,12500,375000,375000,25000,375000,375000,375000,375000,375000,375000,375000,375000,375000,500000,500000,500000,500000,500000,375000,375000,750000,375000,1000000,1000000,1000000,1000000
3879,Dice,1,0,999,3,3,25000,25000,25000,50000,50000,50000,50000,750000,750000,750000,750000,750000,750000,1000000,1000000,1000000,1000000,1000000,750000,750000,1000000,750000,1000000,1000000,1000000,1000000
